2024-10-03 15:17:54.694 | WARNING  | yandex_disk:get_info_files:18 - Список файлов с хранилища сервера недоступен. Ошибка  сервера: 404
2024-10-03 15:21:59.242 | WARNING  | yandex_disk:get_info_files:18 - Список файлов с хранилища сервера недоступен. Ошибка  сервера: 404
2024-10-03 15:27:22.290 | INFO     | __main__:<module>:94 - Начинаем работу с Яндекс.Диском. Папка синхронизации - /home/igor/Документы
2024-10-03 15:27:22.291 | INFO     | __main__:synchronized:64 - Синхронизация завершена
2024-10-03 15:29:24.959 | INFO     | __main__:<module>:94 - Начинаем работу с Яндекс.Диском. Папка синхронизации - /home/igor/Документы
2024-10-03 15:29:24.960 | INFO     | __main__:synchronized:64 - Синхронизация завершена
2024-10-03 15:29:42.178 | INFO     | __main__:synchronized:64 - Синхронизация завершена
2024-10-03 15:29:42.179 | INFO     | __main__:<module>:107 - Завершение работы с Яндекс.Диском
2024-10-03 15:46:28.752 | INFO     | __main__:<module>:95 - Начинаем работу с Яндекс.Диском. Папка синхронизации - /home/igor/Документы
2024-10-03 15:46:28.753 | INFO     | __main__:synchronized:65 - Синхронизация завершена
2024-10-03 15:46:39.981 | INFO     | __main__:synchronized:65 - Синхронизация завершена
2024-10-03 15:46:39.982 | INFO     | __main__:<module>:108 - Завершение работы с Яндекс.Диском
2024-10-03 15:47:41.282 | INFO     | yandex_disk:get_info_files:14 - yandex
2024-10-03 15:47:46.440 | INFO     | __main__:<module>:95 - Начинаем работу с Яндекс.Диском. Папка синхронизации - /home/igor/Документы
2024-10-03 15:48:59.854 | INFO     | yandex_disk:get_info_files:14 - yandex
2024-10-03 15:49:00.724 | INFO     | __main__:<module>:95 - Начинаем работу с Яндекс.Диском. Папка синхронизации - /home/igor/Документы
2024-10-03 15:49:00.725 | INFO     | __main__:synchronized:65 - Синхронизация завершена
2024-10-03 15:49:10.726 | INFO     | yandex_disk:get_info_files:14 - yandex
2024-10-03 15:49:12.460 | INFO     | __main__:synchronized:65 - Синхронизация завершена
2024-10-03 15:49:12.461 | INFO     | __main__:<module>:108 - Завершение работы с Яндекс.Диском
